"STATISTIC","Statistic","TLIST(A1)","Year","C02039V02469","Type of Crop","UNIT","VALUE"
"AQA04C2","Crop Yield per Hectare","2011","2011","03","Oilseed rape","Tonnes","4.5"
"AQA04C2","Crop Yield per Hectare","2011","2011","04","Potatoes","Tonnes","34.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","01","Total wheat, oats and barley","Tonnes","6.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","011","Total wheat","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","0111","Winter wheat","Tonnes","7.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","0112","Spring wheat","Tonnes","6.1"
"AQA04C2","Crop Yield per Hectare","2012","2012","012","Total oats","Tonnes","6.6"
"AQA04C2","Crop Yield per Hectare","2012","2012","0121","Winter oats","Tonnes","6.9"
"AQA04C2","Crop Yield per Hectare","2012","2012","0122","Spring oats","Tonnes","6.4"
"AQA04C2","Crop Yield per Hectare","2012","2012","013","Total barley","Tonnes","6.5"
"AQA04C2","Crop Yield per Hectare","2012","2012","0131","Winter barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","0132","Spring barley","Tonnes","6.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","02","Beans and peas","Tonnes","4.8"
"AQA04C2","Crop Yield per Hectare","2012","2012","03","Oilseed rape","Tonnes","3.2"
"AQA04C2","Crop Yield per Hectare","2012","2012","04","Potatoes","Tonnes","25.8"
"AQA04C2","Crop Yield per Hectare","2013","2013","01","Total wheat, oats and barley","Tonnes","7.8"
"AQA04C2","Crop Yield per Hectare","2013","2013","011","Total wheat","Tonnes","9"
"AQA04C2","Crop Yield per Hectare","2013","2013","0111","Winter wheat","Tonnes","9.3"
"AQA04C2","Crop Yield per Hectare","2013","2013","0112","Spring wheat","Tonnes","8.1"
"AQA04C2","Crop Yield per Hectare","2013","2013","012","Total oats","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","0121","Winter oats","Tonnes","8.1"
"AQA04C2","Crop Yield per Hectare","2013","2013","0122","Spring oats","Tonnes","7"
"AQA04C2","Crop Yield per Hectare","2013","2013","013","Total barley","Tonnes","7.6"
"AQA04C2","Crop Yield per Hectare","2013","2013","0131","Winter barley","Tonnes","9.5"
"AQA04C2","Crop Yield per Hectare","2013","2013","0132","Spring barley","Tonnes","7.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","02","Beans and peas","Tonnes","5.2"
"AQA04C2","Crop Yield per Hectare","2013","2013","03","Oilseed rape","Tonnes","3.6"
"AQA04C2","Crop Yield per Hectare","2013","2013","04","Potatoes","Tonnes","38.2"
"AQA04C2","Crop Yield per Hectare","2014","2014","01","Total wheat, oats and barley","Tonnes","8.5"
"AQA04C2","Crop Yield per Hectare","2014","2014","011","Total wheat","Tonnes","10"
"AQA04C2","Crop Yield per Hectare","2014","2014","0111","Winter wheat","Tonnes","10.2"
"AQA04C2","Crop Yield per Hectare","2014","2014","0112","Spring wheat","Tonnes","8.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","012","Total oats","Tonnes","8"
"AQA04C2","Crop Yield per Hectare","2014","2014","0121","Winter oats","Tonnes","8.7"
"AQA04C2","Crop Yield per Hectare","2014","2014","0122","Spring oats","Tonnes","7.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","013","Total barley","Tonnes","8"
"AQA04C2","Crop Yield per Hectare","2014","2014","0131","Winter barley","Tonnes","9.3"
"AQA04C2","Crop Yield per Hectare","2014","2014","0132","Spring barley","Tonnes","7.5"
"AQA04C2","Crop Yield per Hectare","2014","2014","02","Beans and peas","Tonnes","5.7"
"AQA04C2","Crop Yield per Hectare","2014","2014","03","Oilseed rape","Tonnes","3.6"
"AQA04C2","Crop Yield per Hectare","2014","2014","04","Potatoes","Tonnes","40.5"
"AQA04C2","Crop Yield per Hectare","2015","2015","01","Total wheat, oats and barley","Tonnes","9"
"AQA04C2","Crop Yield per Hectare","2015","2015","011","Total wheat","Tonnes","10.7"
"AQA04C2","Crop Yield per Hectare","2015","2015","0111","Winter wheat","Tonnes","11"
"AQA04C2","Crop Yield per Hectare","2015","2015","0112","Spring wheat","Tonnes","8.6"
"AQA04C2","Crop Yield per Hectare","2015","2015","012","Total oats","Tonnes","8.4"
"AQA04C2","Crop Yield per Hectare","2015","2015","0121","Winter oats","Tonnes","9.2"
