Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
2018,11,58.0,8.7,506.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,111,54.4,8.9,484.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,112,3.6,6.2,22.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,12,17.8,6.9,122.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,121,10.2,7.9,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018,122,7.6,5.6,42.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,13,185.2,6.6,1224.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,131,57.9,8.8,508.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018,132,127.4,5.6,716.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,2,8.5,2.7,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,3,10.6,3.9,40.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4,8.2,33.2,273.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,266.7,9.0,2396.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019,11,63.5,10.0,636.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,111,59.7,10.1,604.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,112,3.8,8.3,31.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,12,23.8,8.5,202.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,121,16.6,8.9,147.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,122,7.2,7.7,55.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019,13,179.4,8.7,1557.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,131,82.8,9.4,780.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,132,96.5,8.0,776.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,2,8.1,5.4,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3,9.2,4.2,38.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4,8.7,44.1,382.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,265.6,7.6,2013.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020,11,47.0,8.4,393.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,111,35.4,8.7,307.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
